what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384671466844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384671467076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384671467535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671492560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671496378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671521682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671554200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671557950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671566096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384671567219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671598650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671601477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671606397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671615333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671718030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671721103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671733419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671740669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671748025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384671755957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384671782211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384671810079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384671820378
